Codigo_temporada	Codigo_competicion	Codigo_fase	Codigo_grupo	Jornada	Partido	Codigo_equipo1	Codigo_equipo2	Resultado1	Resultado2	Codigo_campo	Fecha	Hora	Programado	Estado	Nombre_temporada	Nombre_competicion	Nombre_fase	Nombre_grupo	Nombre_deporte	Nombre_categoria	Nombre_jornada	Equipo_local	Equipo_visitante	Campo	Sexo_grupo	Distrito	Observaciones	SISTEMA_COMPETICION	COORD_X_CAMPO	COORD_Y_CAMPO	Color_camiseta_1	Color_camiseta_2
2025	8978	9973	29483	2	1	177509	177507	6	2	400	2025-09-28	09:30	1	F	2025/2026	TORNEO SAN MIGUEL	Fase de grupo	San Miguel CHM FS ALEVIN	FUTBOL SALA	ALEVIN MIXTO	2	HISPANO PROSPERIDAD A	Colegio Nervión A	Tenis 2 Pradillo	X	Chamartín		COPA	-3.671571	40.449280	blanco	Azul
2025	8938	9854	27242	12	4	179297	177535	3	2	98	2026-01-31	16:30	1	F	2025/2026	46 JUEGOS DEPORTIVOS MUNICIPALES	FASE GRUPO 46 JDM	JDM ARG SAB TAR FS SEN MAS GR.1 CDM Fundi Ext	FUTBOL SALA	SENIOR MASCULINO	12	PECHETINGS FC	GRAN CAPITAN AMIDECU	Exterior polideportiva 2 La Fundi	M	Arganzuela		LIGA	-3.691159	40.394479	Granate	AZUL
2025	8938	9854	27242	2	4	179290	177535	7	3	98	2025-10-25	16:30	1	F	2025/2026	46 JUEGOS DEPORTIVOS MUNICIPALES	FASE GRUPO 46 JDM	JDM ARG SAB TAR FS SEN MAS GR.1 CDM Fundi Ext	FUTBOL SALA	SENIOR MASCULINO	2	PUNKOS Futsal	GRAN CAPITAN AMIDECU	Exterior polideportiva 2 La Fundi	M	Arganzuela		LIGA	-3.691159	40.394479	verde	AZUL
2025	8938	9854	27242	19	6	179086	177535	5	1	98	2026-04-11	18:30	1	F	2025/2026	46 JUEGOS DEPORTIVOS MUNICIPALES	FASE GRUPO 46 JDM	JDM ARG SAB TAR FS SEN MAS GR.1 CDM Fundi Ext	FUTBOL SALA	SENIOR MASCULINO	19	INTER ARGANZUELA F.S	GRAN CAPITAN AMIDECU	Exterior polideportiva 2 La Fundi	M	Arganzuela		LIGA	-3.691159	40.394479	Rosa	AZUL
2025	8938	9854	27242	16	2	179065	177535	4	7	97	2026-03-07	17:30	1	F	2025/2026	46 JUEGOS DEPORTIVOS MUNICIPALES	FASE GRUPO 46 JDM	JDM ARG SAB TAR FS SEN MAS GR.1 CDM Fundi Ext	FUTBOL SALA	SENIOR MASCULINO	16	DEPORTIVO MALIBU	GRAN CAPITAN AMIDECU	Exterior polideportiva 1 La Fundi	M	Arganzuela		LIGA	-3.691159	40.394479	Negriazul	AZUL
2025	8938	9854	27242	9	2	178585	177535	2	3	97	2026-01-10	17:30	1	F	2025/2026	46 JUEGOS DEPORTIVOS MUNICIPALES	FASE GRUPO 46 JDM	JDM ARG SAB TAR FS SEN MAS GR.1 CDM Fundi Ext	FUTBOL SALA	SENIOR MASCULINO	9	LEGENDARIOS FS	GRAN CAPITAN AMIDECU	Exterior polideportiva 1 La Fundi	M	Arganzuela		LIGA	-3.691159	40.394479	rojo	AZUL
2025	8938	9854	27242	11	3	178273	177535	1	2	97	2026-01-24	18:30	1	F	2025/2026	46 JUEGOS DEPORTIVOS MUNICIPALES	FASE GRUPO 46 JDM	JDM ARG SAB TAR FS SEN MAS GR.1 CDM Fundi Ext	FUTBOL SALA	SENIOR MASCULINO	11	MISSISSIPI F.C	GRAN CAPITAN AMIDECU	Exterior polideportiva 1 La Fundi	M	Arganzuela		LIGA	-3.691159	40.394479	Blanco	AZUL
2025	8938	9854	27242	6	1	177951	177535	2	2	97	2025-11-29	16:30	1	F	2025/2026	46 JUEGOS DEPORTIVOS MUNICIPALES	FASE GRUPO 46 JDM	JDM ARG SAB TAR FS SEN MAS GR.1 CDM Fundi Ext	FUTBOL SALA	SENIOR MASCULINO	6	FERNANDO POO	GRAN CAPITAN AMIDECU	Exterior polideportiva 1 La Fundi	M	Arganzuela		LIGA	-3.691159	40.394479	BLANCO-NEGRO	AZUL
2025	8938	9854	27242	18	6	177611	177535	2	2	98	2026-03-21	18:30	1	F	2025/2026	46 JUEGOS DEPORTIVOS MUNICIPALES	FASE GRUPO 46 JDM	JDM ARG SAB TAR FS SEN MAS GR.1 CDM Fundi Ext	FUTBOL SALA	SENIOR MASCULINO	18	VAPER DE MUNICH	GRAN CAPITAN AMIDECU	Exterior polideportiva 2 La Fundi	M	Arganzuela		LIGA	-3.691159	40.394479	Morado	AZUL
2025	8938	9854	27242	14	3	177579	177535	2	4	97	2026-02-21	18:30	1	F	2025/2026	46 JUEGOS DEPORTIVOS MUNICIPALES	FASE GRUPO 46 JDM	JDM ARG SAB TAR FS SEN MAS GR.1 CDM Fundi Ext	FUTBOL SALA	SENIOR MASCULINO	14	RACING CATOLICOS EN ACCIÓN	GRAN CAPITAN AMIDECU	Exterior polideportiva 1 La Fundi	M	Arganzuela		LIGA	-3.691159	40.394479	BLANCO	AZUL
