Nº de abonados;Sexo;Edad;Tipo de abono;Centro deportivo;Mes
1;MUJER;19;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;22;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;39;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;44;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
4;MUJER;53;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;54;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;55;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;56;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;57;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;60;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
2;MUJER;61;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;64;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;16;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;18;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;21;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;22;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;24;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;49;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;50;ADM COMPLETO;Alfredo Goyeneche;ene-26
2;MUJER;54;ADM COMPLETO;Alfredo Goyeneche;ene-26
2;MUJER;55;ADM COMPLETO;Alfredo Goyeneche;ene-26
2;MUJER;59;ADM COMPLETO;Alfredo Goyeneche;ene-26
3;MUJER;60;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;61;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;62;ADM COMPLETO;Alfredo Goyeneche;ene-26
2;MUJER;66;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;68;ADM COMPLETO;Alfredo Goyeneche;ene-26
2;MUJER;69;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;73;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;78;ADM COMPLETO;Alfredo Goyeneche;ene-26
2;MUJER;80;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;86;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;HOMBRE;28;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;HOMBRE;62;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;HOMBRE;65;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;HOMBRE;67;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;HOMBRE;68;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;HOMBRE;69;ADM COMPLETO;Alfredo Goyeneche;ene-26
2;HOMBRE;70;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;HOMBRE;71;ADM COMPLETO;Alfredo Goyeneche;ene-26
2;HOMBRE;79;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;10;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;20;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;21;ADM FAMILIAR;Alfredo Goyeneche;ene-26
2;MUJER;23;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;24;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;28;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;31;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;38;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;49;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;54;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;57;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;60;ADM FAMILIAR;Alfredo Goyeneche;ene-26
2;HOMBRE;18;ADM FAMILIAR;Alfredo Goyeneche;ene-26
